name,category,weight
REI Campware Cutting Board - Small,Camp Cutting Boards,68
GSI Outdoors Fairshare Mug,Camping Mugs,218
Light My Fire Spork,Camping Sporks,5
Sea to Summit Delta InsulMug,Camping Mugs,124
REI Vivo Vacuum-Sleeve Mug - 15 fl. oz. - 2014,Camping Mugs,368
REI Flip-Top Vacuum Bottle - 20 fl. oz.,Camping Mugs,405
Coghlan's Filter Funnel,Camping Stove Accessories,14
MSR Stove Annual Maintenance Kit,Stove Maintenance Kits,31
GSI Outdoors Pioneer Pint Glass,Camping Cups,170
GSI Outdoors Pint Glass,Camping Cups,85
Lodge Hot Handle Holder,Pot Lifters,45
KUPILKA Small Platter,Camping Plates,79
KUPILKA Cutlery Set,Camping Utensil Sets,56
One-Cup Coffee Maker,Drip Coffee Makers,49
GSI Outdoors Ultralight Salt & Pepper Shaker,Salt and Pepper Shakers,28
Coleman Ice Substitute Blanket - Large,Ice Substitutes,498
YETI Cooler Drain Plug - Package of 2,Camp Coolers,379
Light My Fire GrandPa's FireFork - Package of 2,Camping Forks,17
Crown Fuel Crown Camp Fuel - Quart,Liquid Stove Fuel,907
REI Campware Pot Lifter,Pot Lifters,59
Zippo Premium Butane Fuel - 1.48 oz.,Fuel Canisters,41
REI Campware Knife,Camping Knives,8
GSI Outdoors Infinity Stacking Cup,Camping Cups,51
GSI Outdoors Pack Spatula,Cooking Utensils,11
REI Campware Teaspoon,Camping Spoons,7
Jetboil Hanging Kit,Backpacking Stove Accessories,35
Vargo Outdoors Decagon Stove,Backpacking Stoves,34
Jetboil Sol Titanium Companion Cup - 0.8 Liter,Cook Pots,178
Camp Chef  Ranger 2-Burner Camp Stove,Camp Stoves,6350
Open Country Tray for FD-75SK Dehydrator - Set of 2,Food Dehydrators,226
Open Country Fruit Roll Sheet for FD-75SK Dehydrator - Set of 2,Food Dehydrators,90
Open Country Clean-A-Screen for FD-75SK Dehydrator - Set of 2,Food Dehydrators,113
Sea to Summit X-Shot Glass,Camping Cups,25
Light My Fire Pack-Up-Cup,Camping Cups,53
REI Vivo Vacuum-Sleeve Mug - 15 fl. oz.,Camping Mugs,368
Jetboil Joule Cooking System,Backpacking Stoves,714
Coleman NXT 50 Tabletop Grill,Gas Grills,9162
Snow Peak Al Dente Cookset - Large,Cooksets,1995
Picnic At Ascot Equipped Picnic Cooler for 2,Lunch Boxes and Bags,1445
Zojirushi Stainless-Steel Vacuum Mug - 20 fl. oz.,Camping Mugs,255
Coleman Xtreme 3 Cooler - 28 Qt.,Camp Coolers,2404
Stanley Classic Vacuum Pint Glass - 16 fl. oz.,Camping Cups,362
Evernew Ti Ware Nonstick Cookset,Cooksets,530
KUPILKA Schnapps Cup,Camping Cups,25
GSI Outdoors Pioneer Frypan,Frying Pans,680
YETI Tank 45 Cooler Lid,Camp Coolers,2267
Coleman RoadTrip X-cursion Propane Grill,Gas Grills,22679
Optimus (H)EAT Insulation Pouch,Picnic Accessories,76
IceMule Classic Cooler,Camp Coolers,1133
UCO Compact Firebowl - 2015,Campfire Grills,286
AGS Stainless-Steel Carabiner Travel Mug -,Camping Mugs,226
Light My Fire Spork Little - Package of 3 - 2014,Camping Sporks,0
Rome Firepan Rotisserie Grill - 2014,Campfire Grills,3628
Rome Kebab'n Grill - 2014,Campfire Grills,3175
REI eCycle Food Container - Large,Lunch Boxes and Bags,113
REI Tripod Mug - 12 fl. oz. - 2015,Camping Mugs,113
REI eCycle Food Container - Medium,Lunch Boxes and Bags,90
REI Grande Double-Walled Cup - 16 fl. oz. - 2014,Camping Mugs,240
Bleuet Pocket Stove and Fuel - 2014,Backpacking Stoves,92
Blue Sky GEAR Cutting Board - 2014,Camp Cutting Boards,232
Ultimate Survival Technologies Micro Stove - 2015,Cookware Accessories,17
REI eCycle Food Container - Small,Lunch Boxes and Bags,68
Blue Sky GEAR PackWare Plate - 2014,Camping Plates,124
Light My Fire Spork XM - 2014,Camping Sporks,15
Jetboil Sumo Titanium Companion Cup - 1.8 Liter,Cook Pots,283
GSI Outdoors Pepper Grinder,Salt and Pepper Shakers,70
REI eCycle Food Container - X-Small,Lunch Boxes and Bags,45
Light My Fire Pack-n-Snack Kit - 2015,Camping Table Sets,90
Blue Sky GEAR TuffWare Serving Utensils - 2014,Camping Utensil Sets,204
Blue Sky GEAR PackWare Mug - 2014,Camping Mugs,51
MSR Alpine Spoon,Camping Spoons,28
Primus Coffee Press - 2010,Camp Coffee Presses,68
Light My Fire Grill-n-Chill Kit - 2015,Camping Table Sets,124
Life is good Small Cup and Straw - 2014,Camping Cups,198
Rome Whirling Kebab Skewer - 2014,Campfire Cookware,170
