name,category,weight
Patagonia Ultralight Down Hoodie - Women's,Women's Down Jackets,269
Mountain Hardwear Desna Full-Zip Jacket - Men's - 2014,Men's Fleece Jackets,28
The North Face Caiman Rain Jacket - Girls' - 2015,Kids' Multi-Sport Rain Jackets,340
Patagonia Ultralight Down Jacket - Men's,Men's Down Jackets,240
Black Diamond Convergent Down Hoodie - Men's - 2015,Men's Down Jackets,28
REI Mountain Gaiters,Gaiters,204
Marmot Leadville Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,459
Kuhl Dfynce Jacket - Men's,Men's Soft-Shell Jackets,566
The North Face Apex Bionic Jacket - Men's Extended Sizes,Men's Soft-Shell Jackets,688
Marmot Palisades Jacket - Men's - 2014,Men's Multi-Sport Rain Jackets,961
The North Face Reversible Perrito Jacket - Boys',Kids' Synthetic Insulation Jackets,476
Mountain Hardwear Chockstone Jacket - Women's - 2014,Women's Soft-Shell Jackets,283
Marmot Sugarloaf Component 3-in-1 Jacket - Women's,Women's Synthetic Insulation Jackets,1048
Black Diamond Coalesce Soft-Shell Jacket - Women's - 2014,Women's Soft-Shell Jackets,388
Red Ledge Heavy Duty Reversible Poncho,Men's Rain Ponchos,340
Mountain Hardwear Monkey Man 200 Jacket - Men's - 2014,Men's Fleece Jackets,425
The North Face ThermoBall Triclimate 3-in-1 Jacket - Boys',Kids' Synthetic Insulation Jackets,489
The North Face Nimble Soft-Shell Hoodie - Men's,Men's Soft-Shell Jackets,450
Mountain Hardwear Plasmic Rain Jacket - Women's - 2014,Women's Multi-Sport Rain Jackets,272
Black Diamond Flow State Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,419
Marmot Approach Jacket - Men's,Men's Soft-Shell Jackets,581
Marmot Dillon Component Jacket - Men's - 2015,Men's Multi-Sport Rain Jackets,660
Marmot Lassen Fleece Jacket - Boys',Kids' Fleece Jackets,155
Black Diamond Cold Forge Jacket - Men's - 2014,Men's Down Jackets,476
Mountain Hardwear Ruffner Hybrid Jacket - Men's,Men's Soft-Shell Jackets,708
The North Face Cloud Venture Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,221
Mammut Methow Jacket - Women's,Women's Multi-Sport Rain Jackets,467
The North Face ThermoBall Hoodie Insulated Jacket - Girls',Kids' Synthetic Insulation Jackets,340
The North Face Agave Jacket - Girls' - 2015,Kids' Fleece Jackets,255
Marmot ROM Jacket - Women's - 2014,Women's Soft-Shell Jackets,467
The North Face Mod-Osito Fleece Jacket - Women's,Women's Fleece Jackets,538
The North Face Oso Hoodie - Women's - 2015,Women's Fleece Jackets,28
Mountain Hardwear Exposure II Parka - Men's,Men's Multi-Sport Rain Jackets,680
Marmot Ama Dablam Down Jacket - Men's,Men's Down Jackets,538
The North Face Denali Fleece Jacket - Women's - 2015,Women's Fleece Jackets,581
Mountain Hardwear Micro Ratio Down Jacket - Men's,Men's Down Jackets,343
Mountain Hardwear Plasmic Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,283
Black Diamond Stack Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,408
The North Face Cahow Reversible Wind Jacket - Boys' - 2015,Kids' Wind Shells,249
The North Face Calentito Jacket - Women's - 2015,Women's Soft-Shell Jackets,425
Black Diamond Access Hybrid Hoodie - Men's - 2015,Men's Synthetic Insulation Jackets,28
Arc'teryx Epsilon LT Jacket - Women's,Women's Soft-Shell Jackets,430
Sierra Designs DriDown Hooded Vest - Women's - 2014,Women's Down Jackets,255
Patagonia R1 Pullover - Men's,Men's Fleece Jackets,337
The North Face Shellrock Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,28
The North Face Canyonlands Full-Zip Jacket - Boys' - 2015,Kids' Fleece Jackets,317
REI Switchback Parka - Men's,Men's Multi-Sport Rain Jackets,28
Black Diamond Solution Fleece Jacket - Men's - 2014,Men's Fleece Jackets,428
Marmot Dash Hybrid Jacket - Men's,Men's Running Jackets,158
Black Diamond Hot Forge Hybrid Hoodie - Men's,Men's Down Jackets,408
Black Diamond Cold Forge Parka - Men's - 2014,Men's Down Jackets,609
Outdoor Products Multi-Purpose Poncho,Men's Rain Ponchos,334
Marmot Stockholm Jacket - Men's - 2014,Men's Down Jackets,708
SmartWool PhD HyFi Hoodie - Women's - 2014,Women's Sweater Jackets,518
Millet Trilogy Dual Advanced Jacket - Men's,Men's Fleece Jackets,490
Black Diamond Deployment Hybrid Hoodie Jacket - Men's,Men's Synthetic Insulation Jackets,484
Outdoor Research Clairvoyant Jacket - Women's,Women's Multi-Sport Rain Jackets,343
Marmot Guides Down Jacket - Men's,Men's Down Jackets,566
Mammut Sauk Midlayer Jacket - Men's,Men's Fleece Jackets,425
Mountain Hardwear Quasar Insulated Jacket - Men's - 2014,Men's Synthetic Insulation Jackets,623
Outdoor Products Multi-Purpose Poncho - Women's,Women's Rain Ponchos,300
The North Face Perrito Reversible Jacket - Infants',Kids' Fleece Jackets,368
Mountain Hardwear Android II Jacket - Men's - 2014,Men's Soft-Shell Jackets,595
Marmot Fusion Jacket - Men's - 2014,Men's Soft-Shell Jackets,277
The North Face Tavoy Lined Rain Jacket - Boys' - 2015,Kids' Multi-Sport Rain Jackets,368
Mountain Hardwear Stretch Plasmic Jacket - Men's - 2014,Men's Multi-Sport Rain Jackets,311
SmartWool Double Propulsion 60 Hoodie - Women's,Women's Synthetic Insulation Jackets,357
Mountain Hardwear Dynotherm Down Jacket - Men's,Men's Down Jackets,368
Marmot Bastione Component 3-in-1 Jacket - Men's - 2014,Men's Synthetic Insulation Jackets,1417
The North Face Denali Fleece Jacket - Men's Extended Size,Men's Fleece Jackets,907
The North Face Calentito 2 Jacket - Women's,Women's Soft-Shell Jackets,391
The North Face Khumbu 2 Fleece Jacket - Men's - 2015,Men's Fleece Jackets,518
Marmot Alpinist 1/2 Zip - Men's - 2015,Men's Fleece Jackets,439
Outdoor Research Allout Hooded Jacket - Men's,Men's Soft-Shell Jackets,411
Mountain Hardwear Ratio Printed Down Jacket - Women's,Women's Down Jackets,419
Marmot Tamarack Jacket - Women's - 2014,Women's Multi-Sport Rain Jackets,504
Black Diamond Dawn Patrol Jacket - Men's - 2014,Men's Soft-Shell Jackets,391
Marmot ROM Jacket - Men's - 2015,Men's Soft-Shell Jackets,527
The North Face Nimble Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,439
Outdoor Research Deviator Insulated Hoodie Jacket - Men's,Men's Synthetic Insulation Jackets,306
Mammut Borah Zip Hoodie - Men's,Men's Fleece Jackets,320
REI Windstill Jacket - Men's,Men's Wind Shells,413
Marmot Isotherm Insulated Jacket - Men's,Men's Synthetic Insulation Jackets,445
Mountain Hardwear Switch Flip Hooded Jacket - Men's,Men's Synthetic Insulation Jackets,453
The North Face ThermoBall Hybrid Jacket - Boys' - 2015,Kids' Synthetic Insulation Jackets,249
Outdoor Research Vindo Hooded Jacket - Men's,Men's Casual Jackets,513
Marmot Drop Line Jacket - Men's - 2015,Men's Fleece Jackets,379
Marmot Calaveras Fleece Jacket - Men's -,Men's Fleece Jackets,303
Black Diamond Access LT Hybrid Jacket - Men's - 2015,Men's Synthetic Insulation Jackets,334
Black Diamond Access LT Hybrid Jacket - Women's - 2015,Women's Synthetic Insulation Jackets,379
REI Triad 3-in-1 Parka - Men's,Men's Synthetic Insulation Jackets,850
The North Face Khumbu 2 Jacket - Men's,Men's Fleece Jackets,518
Big Agnes Poncho Tarp -,Men's Rain Ponchos,212
Mammut Three Sisters Fleece Jacket - Women's,Women's Fleece Jackets,453
Patagonia Wind Shield Hybrid Softshell Jacket - Women's,Women's Soft-Shell Jackets,201
Black Diamond Crag Soft-Shell Jacket - Men's - 2014,Men's Soft-Shell Jackets,640
Outdoor Products Packframe Poncho,Men's Rain Ponchos,368
REI Wilds Hoodie - Women's,Women's Fleece Jackets,334
Black Diamond Dawn Patrol Hooded Shell Jacket - Women's - 2014,Women's Soft-Shell Jackets,589
Marmot Estes Hoody Jacket - Men's,Men's Soft-Shell Jackets,589
Marmot Flair Hoody - Women's - 2014,Women's Fleece Jackets,518
Eider Orbit Active Jacket - Men's,Men's Multi-Sport Rain Jackets,354
The North Face ThermoBall Full-Zip Jacket - Men's - 2015,Men's Synthetic Insulation Jackets,360
Marmot Cosset Component Jacket - Women's - 2014,Women's Multi-Sport Rain Jackets,1165
Marmot Crystalline Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,184
Marmot Variant Insulated Hybrid Jacket - Men's - 2014,Men's Synthetic Insulation Jackets,396
Marmot Lassen Fleece Jacket - Girls' - 2015,Kids' Fleece Jackets,155
Marmot Alpinist Tech Fleece Jacket - Men's,Men's Fleece Jackets,439
The North Face Canyonlands Half-Zip Top - Men's - 2015,Men's Fleece Jackets,400
Mammut Borah Fleece Jacket - Women's,Women's Fleece Jackets,311
REI Agile Therm Jacket - Men's,Men's Synthetic Insulation Jackets,720
The North Face Reversible Perrito Jacket - Girls',Kids' Fleece Jackets,476
SmartWool PhD SmartLoft Divide Full-Zip Jacket - Men's - 2014,Men's Synthetic Insulation Jackets,450
The North Face NFP Surgent Full-Zip Jacket - Boys' - 2015,Kids' Fleece Jackets,328
The North Face Mayzie Full-Zip Hoodie - Girls' - 2015,Kids' Fleece Jackets,328
The North Face Mossbud Soft-Shell Hoodie - Girls' - 2015,Kids' Soft-Shell Jackets,28
Mammut Chopaka 2.0 Soft-Shell Jacket - Men's,Men's Soft-Shell Jackets,623
The North Face Linnet Reversible Wind Jacket - Girls' - 2015,Kids' Wind Shells,408
